work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
WS/MP18309/2025-2026/157965-Construction of footpaths and pedestrian ways,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,construction of footpath earth work at different places,2024-12-10,2025-04-30,150000.0,141,Physical Inspection,16.7,15.0,45.0,100.00000000000003,15.0,6.68,2.25,6.75,15.0,2.25,32.93,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148716-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter.,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148715-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter.,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18309/2025-2026/157963-Construction of footpaths and pedestrian ways,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,construction of footpath earth work at different places,2024-12-10,2025-04-30,150000.0,141,Physical Inspection,16.7,15.0,45.0,100.00000000000003,15.0,6.68,2.25,6.75,15.0,2.25,32.93,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18309/2025-2026/157959-Construction of footpaths and pedestrian ways,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,construction of footpath earth work at different places,2024-12-10,2025-04-30,150000.0,141,Physical Inspection,16.7,15.0,45.0,100.00000000000003,15.0,6.68,2.25,6.75,15.0,2.25,32.93,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18309/2025-2026/157958-Construction of footpaths and pedestrian ways,Meghalaya,WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA),SALENG A SANGMA,TURA,Normal/Others,construction of footpath earth work at different places,2024-12-10,2025-04-30,150000.0,141,Physical Inspection,16.7,15.0,45.0,100.00000000000003,15.0,6.68,2.25,6.75,15.0,2.25,32.93,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148714-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter.,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP883/2026-2027/155184-Construction of water tanks,Bihar,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),Nityanand Rai,UJJARPUR,Normal/Others,PRAKHAND PATEPUR PANCHAYAT LEVDHAN KE LEVDHAN PANCHAYAT ANTARGAT PAHARPUR UCHCH VIDHALY LEVDHAN ME SAMUDAYIK PEYJAL PANI TANKI (WATER ATM)  BHAWAN KE SATH NIRMAN,2024-11-27,2026-07-28,325000.0,608,Sanction,33.5,15.0,100.0,0.0,15.0,13.4,2.25,15.0,0.0,2.25,32.9,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 608 days.
WS/MP243/2026-2027/189479-Construction of rooms and halls in school and colleges,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Renovation and extension of narayanpur high school building,2025-04-12,2026-06-22,400000.0,436,Sanction,33.6,15.0,100.0,0.0,15.0,13.44,2.25,15.0,0.0,2.25,32.94,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 436 days.
WS/MP18311/2024-2025/153576-Installation of fixed garden gym equipment,Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Installation of fixed garden gym equipment at ward number 13 park number 2 Malhotra colony Ropar,2024-11-23,2025-02-10,300000.0,79,Work partially Completed,28.3,15.0,15.0,100.0,15.0,11.32,2.25,2.25,15.0,2.25,33.07,100.0,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18321/2025-2026/188006-Construction of rainwater harvesting structures,Gujarat,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Normal/Others,Construction of rainwater harvesting structures,2025-03-31,2025-07-01,200000.0,92,Sanction,17.0,15.0,45.0,100.00000000000003,15.0,6.8,2.25,6.75,15.0,2.25,33.05,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148346-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148350-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18311/2024-2025/153574-Installation of fixed garden gym equipment,Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Installation of fixed garden gym equipment at ward number 19 park number 2 Shahid E Azam Bhagat Singh Nagar,2024-11-23,2025-02-10,300000.0,79,Work partially Completed,28.3,15.0,15.0,100.0,15.0,11.32,2.25,2.25,15.0,2.25,33.07,100.0,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP761/2025-2026/153958-Construction of additional rooms and halls in the existing public and community building,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,Construction of Additional classroom in Saraswathi Shishumandir near IB Road guest house,2024-11-22,2025-11-28,495000.0,371,Work Completed,33.6,15.0,100.0,0.0,15.0,13.44,2.25,15.0,0.0,2.25,32.94,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 371 days.
WS/MP18205/2024-2025/148349-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18205/2024-2025/148348-Street lights,Uttar Pradesh,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),SANATAN PANDEY,BALLIA,Normal/Others,Installation of Semi High Mast Lights at different places as per attached recommendation letter,2024-10-21,2025-03-20,216470.0,150,Vendor Identification,16.6,15.0,45.0,100.00000000000003,15.0,6.64,2.25,6.75,15.0,2.25,32.89,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18084/2026-2027/188265-Construction of bus-sheds or bus-stops,Karnataka,Davanagere(DEPUTY COMMISSIONER DAUANAGERE_IDA),DR. PRABHA MALLIKARJUN,DAVANAGERE,Normal/Others,Construction of bus-sheds or bus-stops in gudalu,2025-03-31,2026-06-19,500000.0,445,Vendor Identification,33.6,15.0,100.0,0.0,15.0,13.44,2.25,15.0,0.0,2.25,32.94,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 445 days.
WS/  MP644/2024-2025/151390-Fitting of Sitting RCC Benches in Public Places,Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,Normal/Others,RCC Bench,2024-11-07,2025-01-21,1749960.0,75,Vendor Identification,27.9,15.0,15.0,100.00000000000003,15.0,11.16,2.25,2.25,15.0,2.25,32.91,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP826/2026-2027/197601-Construction of community centers and community halls,West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,DARJEELING,Normal/Others,"Construction of community centre at Mana, Sittong I",2025-05-11,2026-06-10,500000.0,395,Sanction,33.8,15.0,100.0,0.0,15.0,13.52,2.25,15.0,0.0,2.25,33.019999999999996,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 395 days.
WS/MP826/2026-2027/197585-Street lights,West Bengal,DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA),Raju Bista,DARJEELING,Normal/Others,Installation of solar street lights,2025-05-11,2026-06-10,500000.0,395,Sanction,33.8,15.0,100.0,0.0,15.0,13.52,2.25,15.0,0.0,2.25,33.019999999999996,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 395 days.
WS/MP18321/2025-2026/188004-Construction of rainwater harvesting structures,Gujarat,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Normal/Others,Construction of rainwater harvesting structures,2025-03-31,2025-07-01,200000.0,92,Sanction,17.0,15.0,45.0,100.00000000000003,15.0,6.8,2.25,6.75,15.0,2.25,33.05,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18136/2026-2027/195289-Providing drains and gutters for public drainage,Maharashtra,WARDHA(DISTRICT COLLECTOR WARDHA_IDA),AMAR SHARADRAO KALE,WARDHA,Normal/Others,"Construction of cement drain from Subhash Aawate to Ashok Sonawane house in Mauja Shirpur Taluka Arvi, District Wardha",2025-04-29,2026-07-09,400000.0,436,Sanction,33.8,15.0,100.0,0.0,15.0,13.52,2.25,15.0,0.0,2.25,33.019999999999996,100.0,73.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 436 days.
WS/MP18311/2024-2025/153575-Installation of fixed garden gym equipment,Punjab,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Installation of fixed garden gym equipment at ward number 13 park number 1 Malhotra colony Ropar,2024-11-23,2025-02-10,300000.0,79,Work partially Completed,28.3,15.0,15.0,100.0,15.0,11.32,2.25,2.25,15.0,2.25,33.07,100.0,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18152/2025-2026/163157-Purchase of mobile water tankers,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,Purchase of mobile Steel water tanker,2025-01-20,2025-06-06,200000.0,137,Physical Inspection,17.1,15.0,45.0,100.00000000000003,15.0,6.84,2.25,6.75,15.0,2.25,33.09,100.00000000000003,73.2,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18091/2026-2027/159995-Construction of additional rooms and halls in the existing public and community building,Karnataka,KODAGU(Deputy Commsioner Kodagu_ida),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,Further Construction of Bharathiya Sarvananika Bhavana.,2024-12-21,2026-06-19,400000.0,545,Sanction,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 545 days.
"WS/MP18097/2026-2027/181096-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,Purchase of wheel chairs (Motorized) (4.6) Ward - 10 Kadirur Grama Panchayat,2025-03-11,2026-08-07,110000.0,514,Sanction,32.9,15.0,100.0,0.0,15.0,13.16,2.25,15.0,0.0,2.25,32.66,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 514 days.
WS/MP18232/2026-2027/177336-Street lights,Uttar Pradesh,MEERUT(DISTRICT MAGISTRATE MEERUT_IDA),HARENDRA SINGH MALIK,MUZAFFARNAGAR,Normal/Others,MADARASA FAIZUL KURAAN JAMA MASJID ke samne HIGH MASK LIGHT Karydayi Sanstha Block,2025-02-24,2026-05-22,140000.0,452,Vendor Identification,33.0,15.0,100.0,0.0,15.0,13.2,2.25,15.0,0.0,2.25,32.7,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 452 days.
WS/MP18091/2026-2027/184358-Construction of community centers and community halls,Karnataka,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,Construction of Sri Mahadeshwaraswamy Community hall at Baradanapura,2025-03-20,2026-05-20,500000.0,426,Work partially Completed,32.9,15.0,100.0,0.0,15.0,13.16,2.25,15.0,0.0,2.25,32.66,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 426 days.
WS/MP18091/2026-2027/184357-Construction of community centers and community halls,Karnataka,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,construction of Sri valmiki samudaya bhavana at rammanahalli,2025-03-20,2026-06-23,500000.0,460,Work partially Completed,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 460 days.
WS/MP18091/2026-2027/184356-Construction of community centers and community halls,Karnataka,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,Construction of Sri Mahasakthi Ammanavara community hall,2025-03-20,2026-06-23,500000.0,460,Work partially Completed,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 460 days.
WS/MP18091/2026-2027/184355-Construction of community centers and community halls,Karnataka,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,Normal/Others,Construction of nayakara sangada Sri ramamandira community hall,2025-03-20,2026-05-18,500000.0,424,Work partially Completed,32.9,15.0,100.0,0.0,15.0,13.16,2.25,15.0,0.0,2.25,32.66,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 424 days.
WS/MP18094/2026-2027/159848-Construction of community centers and community halls,Karnataka,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),VISHWESHWAR HEGDE KAGERI,UTTARA KANNADA,Normal/Others,Construction of Samudaya Bhavanay at near Mallikarjun Temple Amarpur Gram Kittur Belgum,2025-01-08,2026-04-16,500000.0,463,Work partially Completed,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 463 days.
WS/MP351/2026-2027/157126-Street lights,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),Shri Kumbakudi Sudhakaran,KANNUR,Normal/Others,Installation of Mini Mast lights at Near Thattari Bridge  in Vengad  Grama Panchayath –(08 Meter High Mast With 5x150 Watts -Flood LIGHT),2024-12-05,2026-08-22,300000.0,625,Sanction,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 625 days.
WS/MP18219/2025-2026/137967-Lighting of public spaces,Uttar Pradesh,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast Light Samajwadi Party  karyalay ke pass,2024-09-11,2025-11-27,400000.0,442,Vendor Identification,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days.
WS/MP18152/2024-2025/140030-Fitting of Sitting RCC Benches in Public Places,Punjab,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),Normal/Others,Fitting of Sitting RCC Benches in Public Places,2024-09-09,2024-12-20,100000.0,102,Physical Inspection,16.5,15.0,45.0,100.0,15.0,6.6,2.25,6.75,15.0,2.25,32.85,100.0,73.1,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP013/2024-2025/151021-Purchase of IT systems, including hardware and software for educational purposes",Sikkim,Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),Indra Hang Subba,SIKKIM,Normal/Others,"Supply and installation of  PC system, printers ,copiers, needed electronic devices, books and furniture for various schools in Gyalshing district",2024-11-06,2025-02-27,3000000.0,113,Physical Inspection,16.1,15.0,45.0,100.00000000000003,15.0,6.44,2.25,6.75,15.0,2.25,32.69,100.00000000000003,73.1,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP18054/2026-2027/196197-Installing community drinking water plants,Gujarat,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,Normal/Others,INSTALLING R O(200-250 LIT) WITH SS  WATER COOLER100 STORAGE AND 100 DISPECH   IN BABASAHEB HALL IN VILLAGE DEUSANA,2025-05-03,2026-08-05,100000.0,459,Sanction,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 459 days.
WS/MP18077/2026-2027/192591-Construction of buildings for community cultural activities,Karnataka,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),JAGADISH SHETTAR,BELGAUM,Normal/Others,Construction  of  building for Community cultural activities near Shri Kalameshwara Devastan at Belagundi Village  Tq Belagavi.,2025-04-19,2026-08-12,500000.0,480,Work partially Completed,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 480 days.
"WS/MP18353/2025-2026/156749-Purchase of smart boards, visual display units and projectors",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),RACHNA BANERJEE,HOOGHLY,Normal/Others,MODIFICATION & CONSTUCTION OF SMART CLASS ROOM (Between 450 to 500 Sqft.) along with the following:  1.Touchsceen 4K Interactive flat panel (IFP) Make Gladwin with Android 11 os 2.Open Pluggable Specification (OPS) (i3/RAM8GB/128Gb/Windows10) 3. Wall mount Kit for IFPS 4. 65” inch 5. HD Web Camera with Voice recording facility for IFPs 5. Contrast 4000:1 6. UPS for 20 minutes Power Back up 7. Laptop ( standard i5 /8 gb / 128 gb / SSD & 1 TB SDD / Network LAN Port & Power ) OPTIONAL,2024-12-03,2025-08-04,1034185.0,244,Work Completed,33.5,15.0,75.0,93.12778598284952,15.0,13.4,2.25,11.25,13.9692,2.25,43.1192,93.12778598284952,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 244 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 93.1%). Requires human verification.
WS/MP18077/2026-2027/192612-Construction of buildings for community cultural activities,Karnataka,BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA),JAGADISH SHETTAR,BELGAUM,Normal/Others,Construction  of  building for Community cultural activities  near Shri Laxmi Mandir Temple at Sulaga(U)Village  Tq Belagavi,2025-04-19,2026-08-12,500000.0,480,Work partially Completed,33.3,15.0,100.0,0.0,15.0,13.32,2.25,15.0,0.0,2.25,32.82,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 480 days.
"WS/MP013/2024-2025/151022-Purchase of IT systems, including hardware and software for educational purposes",Sikkim,Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),Indra Hang Subba,SIKKIM,Normal/Others,"Supply and installation of PC system, printers, copiers, needed electronic devices, books and furniture for various schools in Gyalshing district",2024-11-06,2025-02-27,3000000.0,113,Physical Inspection,16.1,15.0,45.0,100.00000000000003,15.0,6.44,2.25,6.75,15.0,2.25,32.69,100.00000000000003,73.1,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
"WS/MP18353/2025-2026/156748-Purchase of smart boards, visual display units and projectors",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),RACHNA BANERJEE,HOOGHLY,Normal/Others,MODIFICATION & CONSTUCTION OF SMART CLASS ROOM (Between 300 to 350 Sqft.) along with the following:  1.Touchsceen 4K Interactive flat panel (IFP) Make Gladwin with Android 11 os 2.Open Pluggable Specification (OPS) (i3/RAM8GB/128Gb/Windows10) 3. Wall mount Kit for IFPS 4. 65” inch 5. HD Web Camera with Voice recording facility for IFPs 5. Contrast 4000:1 6. UPS for 20 minutes Power Back up 7. Laptop ( standard i5 /8 gb / 128 gb / SSD & 1 TB SDD / Network LAN Port & Power ) OPTIONL,2024-12-03,2025-08-04,1026218.0,244,Work Completed,33.3,15.0,75.0,93.12778598284952,15.0,13.32,2.25,11.25,13.9692,2.25,43.0392,93.12778598284952,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 244 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 93.1%). Requires human verification.
"WS/MP18263/2026-2027/166247-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Chikmagalur District, Koppa Taluk Maritotlu Gram Panchayat, Niluguli road continuation work.",2025-01-17,2026-05-16,200000.0,484,Vendor Identification,33.2,15.0,100.0,0.0,15.0,13.28,2.25,15.0,0.0,2.25,32.78,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 484 days.
"WS/MP18097/2026-2027/181095-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),SHAFI PARAMBIL,VADAKARA,Normal/Others,"Purchase of wheelchairs (Motorized) Ward  12 Chokli Grama Panchayat, Kannur Dt.",2025-03-11,2026-08-07,110000.0,514,Sanction,32.9,15.0,100.0,0.0,15.0,13.16,2.25,15.0,0.0,2.25,32.66,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 514 days.
WS/MP18219/2025-2026/137963-Lighting of public spaces,Uttar Pradesh,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast light Police station,2024-09-11,2025-11-27,400000.0,442,Vendor Identification,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days.
WS/MP18219/2025-2026/137973-Lighting of public spaces,Uttar Pradesh,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High mast light,2024-09-11,2025-11-27,400000.0,442,Vendor Identification,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days.
WS/MP251/2026-2027/173880-Lighting of public spaces,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Prof Sougata Ray,DUM DUM,Normal/Others,Installation of 4 high pole lights at 17 pally play ground under kamarhati municipality,2025-05-16,2026-06-23,467000.0,403,Sanction,33.2,15.0,100.0,0.0,15.0,13.28,2.25,15.0,0.0,2.25,32.78,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 403 days.
WS/MP18219/2025-2026/137972-Lighting of public spaces,Uttar Pradesh,HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2),AJENDRA SINGH LODHI,HAMIRPUR_UP,Normal/Others,1.High Mast Light Rajendra ke ghar ke pass,2024-09-11,2025-11-27,400000.0,442,Vendor Identification,33.4,15.0,100.0,0.0,15.0,13.36,2.25,15.0,0.0,2.25,32.86,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 442 days.
"WS/MP18263/2026-2027/166248-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Harandur Grama Panchayat, Koppa Taluk, Chikmagalur District Raghavendranagar SC Road Development Work (SC)",2025-01-17,2026-05-16,200000.0,484,Vendor Identification,33.2,15.0,100.0,0.0,15.0,13.28,2.25,15.0,0.0,2.25,32.78,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 484 days.
"WS/MP18263/2025-2026/173840-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,Normal/Others,"Chikmagalur District Chikmagalur Taluk, Aldur Hobli, S.C. Chikmagaravalli Government Bhutanakere Road Box Drain (Scheduled.Caste)",2025-02-06,2026-02-24,100000.0,383,Work partially Completed,33.1,15.0,100.0,0.0,15.0,13.24,2.25,15.0,0.0,2.25,32.74,100.0,73.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days.
