work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,anomaly_label,anomaly_score,risk_score,risk_level,anomaly_reason
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,437,Sanction,-1,-0.08196159469639075,71.4,High,Severe sanction delay of 437 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18212/2025-2026/187693-Construction of rooms and halls in school and colleges,Uttar Pradesh,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),ANAND BHADAURIYA,DHAURAHRA,Trust and Society,BLOCK MAHOLI KE GRAM MAHSUNIYA ME R .P.CHILDRAN ACEDAMY ME BHAVAN NIRMAN VISTAR KA KARYA,2025-03-29,2026-01-16,199000.0,293,Work partially Completed,-1,-0.0817052981859484,71.3,High,Sanction delay (293 days) is 7.7x higher than the typical approval time for authority 'SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18065/2025-2026/165526-Construction of community centers and community halls,Haryana,ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA),DEEPENDER SINGH HOODA,ROHTAK,Repair and Renovation,Const. of B wall  Grill and Other development Works in Dharamshala near Mandir,2025-01-14,2025-04-02,1100000.0,78,Work Completed,-1,-0.08144290278581257,71.2,High,"Sanction amount (₹ 1,100,000) is 3.2x higher than the median sanction amount in Haryana."
WS/MP18262/2025-2026/193525-Construction of footpaths and pedestrian ways,Jharkhand,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),Repair and Renovation,Laying Paver Blocks in St Teressa School premises meromgutu.,2025-04-22,2025-05-28,662600.0,36,Work partially Completed,-1,-0.08118815824493864,71.1,High,"Sanction amount (₹ 662,600) is 2.7x higher than the median sanction amount in Jharkhand."
WS/MP18350/2025-2026/179012-Construction of additional rooms and halls in the existing public and community building,Odisha,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,Repair and Renovation,Renovation of Community Centre near Anandeswar Pitha,2025-03-04,2025-12-06,300000.0,277,Sanction,-1,-0.0809011081094041,71.0,High,Sanction delay (277 days) is 6.2x higher than the typical approval time for authority 'Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA)'.
WS/MP18076/2026-2027/146587-Construction of community centers and community halls,Karnataka,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),DR C N MANJUNATH,BANGALORE RURAL,Trust and Society,"Construction of New Building Nammane Summane Destitute Orphanage at No.18 Gangondanahalli, Chammundeshwari Layout, Lakshmipura Post, Dasanapura Hobli, Bengaluru North Taluk, Pin-560073",2024-10-09,2026-08-19,500000.0,679,Sanction,-1,-0.08106271239807128,71.0,High,Severe sanction delay of 679 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP386/2024-2025/145025-Construction of rooms and halls in school and colleges,Rajasthan,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),Shri Hanuman Beniwal,NAGAUR,Repair and Renovation,"Complete repair work with Kota  stone, plaster of walls and Construction of Main gate in Govt SS School,Mundiyar",2024-10-01,2024-12-11,1500000.0,71,Work partially Completed,-1,-0.08109883724601674,71.0,High,"Sanction amount (₹ 1,500,000) is 3.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP347/2024-2025/136720-Construction of culverts and bridges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),Normal/Others,"Construction of bridge across Panayilthode in Kakkottuchal Nedumkottukonam road in Kottavattom North ward-11,Vettikkavala Grama Panchayath (SC)",2024-08-22,2024-10-29,5400000.0,68,Work partially Completed,-1,-0.08087285888407392,71.0,High,"Sanction amount (₹ 5,400,000) is 18.0x higher than the typical amount for work category 'Normal/Others'."
WS/MP18029/2025-2026/182037-Construction of community centers and community halls,Assam,Biswanath(Deputy Commissioner Biswanath_IDA),RANJIT DUTTA,Sonitpur,Repair and Renovation,Renovation of Anchalik Grammya Bikash Kendra Panibharal Namghar,2025-03-15,2026-01-02,700000.0,293,Vendor Identification,-1,-0.08028631301772593,70.7,High,Sanction delay (293 days) is 4.0x higher than the typical approval time for authority 'Biswanath(Deputy Commissioner Biswanath_IDA)'.
"WS/MP18039/2025-2026/183982-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Bihar,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),RAJESH VERMA,KHAGARIA,Repair and Renovation,Simri nagar parishd ke  ward 18  hospital ka first floor ka renovation work,2025-04-01,2025-10-06,1400000.0,188,Sanction,-1,-0.07970918671890259,70.5,High,"Sanction amount (₹ 1,400,000) is 2.8x higher than the typical amount for work category 'Repair and Renovation'. | Sanction delay (188 days) is 7.5x higher than the typical approval time for authority 'SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)'."
WS/MP18019/2026-2027/139500-Construction of community centers and community halls,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),Normal/Others,"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",2024-09-06,2026-07-31,5000000.0,693,Physical Inspection,-1,-0.07933071298865646,70.4,High,"Sanction amount (₹ 5,000,000) is 16.7x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 693 days (> 1 year) between recommendation and approval."
WS/MP18326/2025-2026/160485-Construction of rooms and halls in school and colleges,Gujarat,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,Trust and Society,Patdi Taluka Vadgam Village Work of prayer rooms of aided Sri Secondary and Higher Secondary Schools run by Sri Vadgam Kelwani Mandal,2024-12-20,2026-01-09,1000000.0,385,Sanction,-1,-0.07955510306936342,70.4,High,"Sanction amount (₹ 1,000,000) is 4.0x higher than the median sanction amount in Gujarat. | Severe sanction delay of 385 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18082/2025-2026/176820-Construction of shelters for animals,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Trust and Society,Continuation of work of Goshale(Cowshed) at Roppa village of Molakalmuru taluk,2025-02-21,2025-10-17,1000000.0,238,Work partially Completed,-1,-0.07936623275018695,70.4,High,Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
"WS/MP431/2025-2026/190025-Construction of roads, link roads, pathways or any other road with or without drainage system",Haryana,GURUGRAM(DC CUM NODAL OFFICER MPLADS_5),Rao Inderjit Singh,GURGAON,Repair and Renovation,Repair of street from House of Samay Singh to House of Hetram,2025-04-08,2025-05-28,1000000.0,50,Work partially Completed,-1,-0.07914404384530116,70.3,High,"Sanction amount (₹ 1,000,000) is 2.9x higher than the median sanction amount in Haryana."
WS/MP18082/2025-2026/176073-Construction of community centers and community halls,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Trust and Society,Continuation work of Community hall to Karnataka State Government Employees association Holalkere taluk branch,2025-02-17,2025-12-03,1000000.0,289,Work partially Completed,-1,-0.07927515896604465,70.3,High,Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/MP18254/2024-2025/156804-Construction of culverts and bridges,West Bengal,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),JUNE MALIAH,MEDINIPUR,Normal/Others,Construction of vented causeway bridge at Parang Khal in between Jugdiha and Gohaldihi,2024-12-03,2025-03-12,7429927.0,99,Sanction,-1,-0.07881234252348612,70.2,High,"Sanction amount (₹ 7,429,927) is 24.8x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18146/2025-2026/173999-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Odisha,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),ANANTA NAYAK,KEONJHAR(ST),Repair and Renovation,Additional class room at Champajhar High School,2025-02-15,2025-11-26,500000.0,284,Sanction,-1,-0.07893409884412461,70.2,High,Sanction delay (284 days) is 2.9x higher than the state average in Odisha.
WS/MP18247/2024-2025/145107-Street lights,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),ARUP CHAKRABORTY,BANKURA,Normal/Others,Installation of 20 nos. of solar high mast lights at different places of  Simlapal Block area under Bankura District,2024-10-02,2024-12-10,7600000.0,69,Sanction,-1,-0.07877457476008709,70.1,High,"Sanction amount (₹ 7,600,000) is 25.3x higher than the typical amount for work category 'Normal/Others'."
"WS/MP18244/2025-2026/195301-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,Alipurduar(DISTRICT MAGISTRATE ALIPURDUARS_IDA),MANOJ TIGGA,ALIPURDUARS(ST),Normal/Others,Construction of Paver Block Road and both side PCC Drain near the house of Sagar Chhetri to Ram Bahadur Thapa house Birpara I GP within Madarihat Birpara Block District Alipurduar,2025-04-29,2026-01-14,4813790.0,260,Sanction,-1,-0.07871050830326576,70.1,High,"Sanction amount (₹ 4,813,790) is 16.0x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (260 days) is 2.6x higher than the state average in West Bengal."
WS/MP18029/2025-2026/175834-Construction of community centers and community halls,Assam,"SONITPUR(Deputy Commissioner Sonitpur, Tezpur)",RANJIT DUTTA,Sonitpur,Repair and Renovation,Renovation of Community Hall near Garubandha Dainik Bazar,2025-02-16,2025-09-16,1000000.0,212,Work partially Completed,-1,-0.07870737145145923,70.1,High,Overall project cost-delay pattern is anomalous compared with baseline national records.
